Church Name,City,State,Size,Denomination
12Stone Church,Lawrenceville,GA,17000,Wesleyan
3Circle Church,Fairhope,AL,4962,"Independent, Nondenominational"
Abba’s House/Central Baptist,Hixson,TN,1750,Southern Baptist Convention
Abundant Faith Christian Center,Springfield,IL,2900,Unknown (unspecified)
Abundant Life Baptist Church,Lee's Summit,MO,2000,"Independent, Nondenominational"
Abundant Life Cathedral Church,Houston,TX,5000,"Independent, Nondenominational"
Abundant Life Christian Center,La Marque,TX,3000,"Independent, Nondenominational"
Abundant Life Christian Center,East Syracuse,NY,2000,Pentecostal (unspecified)
Abundant Life Christian Fellowship,Mountain View,CA,4500,"Church of God, Anderson"
Abundant Life Church,Damascus,OR,2426,CHRISTIAN
Abundant Life Church of God,San Antonio,TX,2000,"Church of God, Cleveland"
Abundant Life Family Worship Church,New Brunswick,NJ,2200,"Independent, Nondenominational"
Abundant Living Faith Center,El Paso,TX,12400,"Independent, Nondenominational"
Abundant Living Family Church,Rancho Cucamonga,CA,4000,"Independent, Nondenominational"
Abundant Living Ministries of Pembroke Pines,Pembroke Pines,FL,2000,International Pentecostal Holiness Church
Abyssinian Baptist Church,Harlem,NY,4000,National Baptist Convention
Acts Full Gospel Church of God In Christ,Oakland,CA,6000,Church of God in Christ
Ada Bible Church,Ada,MI,7636,"Independent, Nondenominational"
Adventure Christian Church,Roseville,CA,3659,CHRISTIAN
Agape Family Worship Center,Rahway,NJ,2500,"Independent, Nondenominational"
Agape International Center for Truth,Culver City,CA,2500,Religious Science
Agincourt Pentecostal Church,Toronto,ON,2200,Pentecostal Assemblies of Canada
Akron Baptist Temple,Akron,OH,3000,"Independent, Nondenominational"
Alamo City Christian Fellowship,San Antonio,TX,2125,Southern Baptist Convention
Alamo Heights United Methodist Church,San Antonio,TX,1800,United Methodist Church
Alfred Street Baptist Church,Alexandria,VA,2800,Baptist (unspecified)
Alief Baptist Church,Houston,TX,2406,Southern Baptist Convention
All Nations Church,Lakeview Terrace,CA,2000,Unknown (unspecified)
All Nations Community Church,Homewood,IL,2000,"Independent, Nondenominational"
Allegheny Center Alliance Church,Pittsburgh,PA,2700,Christian & Missionary Alliance
Allen AME Church,Jamaica,NY,6150,African Methodist Episcopal
Allen Temple Baptist Church,Oakland,CA,5500,Progressive National Baptist
Alliance Missionary Church,Marshfield,WI,1800,Christian & Missionary Alliance
Alpha and Omega Church,Miami,FL,2100,"Independent, Nondenominational"
Anastasia Baptist Church,Saint Augustine,FL,1510,Southern Baptist Convention
Anchorage Baptist Temple,Anchorage,AK,2200,Baptist (unspecified)
Antioch Baptist Church,Fairfax Station,VA,1800,Southern Baptist Convention
Antioch Baptist Church North,Atlanta,GA,4000,National Baptist Convention
Antioch Bible Church,Redmond,WA,3500,"Independent, Nondenominational"
Antioch Community Church,Waco,TX,2500,"Independent, Nondenominational"
Antioch Fellowship Missionary Baptist Church,Dallas,TX,2000,Missionary Baptist
Antioch Missionary Baptist Church,Miami Gardens,FL,7000,Missionary Baptist
Antioch Missionary Baptist Church,Beaumont,TX,2800,Missionary Baptist
Apex Church,Las Vegas,NV,3500,"Independent, Nondenominational"
Apex Community Church,Kettering,OH,2500,Southern Baptist Convention
Apostolic Church of Auburn Hills,Auburn Hills,MI,3000,United Pentecostal Church International
Apostolic Church of God,Chicago,IL,8000,Pentecostal Assemblies of the World
Apostolic Faith Church,Chicago,IL,2000,Pentecostal Assemblies of the World
Applegate Christian Fellowship,Jacksonville,OR,7000,Calvary Churches
Appleton Alliance Church,Appleton,WI,3000,Christian & Missionary Alliance
Arcade Baptist Church,Sacramento,CA,2000,CBA
Ark Family Church,Conroe,TX,4200,"Independent, Nondenominational"
Ark of Safety Christian Church,Upper Marlboro,MD,2000,"Independent, Nondenominational"
Asbury United Methodist Church,Madison,AL,2500,United Methodist Church
Asbury United Methodist Church,Tulsa,OK,3274,United Methodist Church
Atascadero Bible Church,Atascadero,CA,3000,"Independent, Nondenominational"
Athens Church,Athens,GA,2000,Unknown (unspecified)
Atlanta Berean Church,Atlanta,GA,2500,Seventh-day Adventist
Atlantic Shores Baptist Church,Virginia Beach,VA,2000,Southern Baptist Convention
Austin Christian Fellowship,Austin,TX,1800,"Independent, Nondenominational"
Austin Ridge Bible Church,Austin,TX,2600,Unknown (unspecified)
Avalon Church,McDonough,GA,1300,Southern Baptist Convention
Bandera Road Community Church,San Antonio,TX,4950,"Independent, Nondenominational"
Bannockburn Baptist Church,Austin,TX,2000,Baptist (unspecified)
Baptist Temple Church,McAllen,TX,2000,Southern Baptist Convention
Barefoot Church,North Myrtle Beach,SC,2000,Unknown (unspecified)
Bates Memorial Baptist Church,Louisville,KY,3000,Southern Baptist Convention
Bay Area Christian Church,Palo Alto,CA,3500,"Independent, Nondenominational"
Bay Area Fellowship,Corpus Christi,TX,6957,Southern Baptist Convention
Bay Leaf Baptist Church,Raleigh,NC,1400,Southern Baptist Convention
Bay Life Church,Brandon,FL,2500,Southern Baptist Convention
Bayside Baptist Church,Harrison,TN,1300,Southern Baptist Convention
Bayside Church,Roseville,CA,20000,Evangelical Covenant
Bayside Community Church,Bradenton,FL,2000,Unknown (unspecified)
Bayside of South Sacramento,Sacramento,CA,2500,Evangelical Covenant
Bayview Baptist Church,San Diego,CA,1800,Baptist (unspecified)
Beach United Methodist Church,Jacksonville Beach,FL,2069,United Methodist Church
Bear Creek Baptist Church,Katy,TX,3098,Southern Baptist Convention
Beaverton Foursquare Church,Beaverton,OR,5600,Four Square
Bel Air Presbyterian Church,Los Angeles,CA,2394,"Presbyterian Church, U.S.A."
Bell Shoals Baptist Church,Brandon,FL,2985,Southern Baptist Convention
Bellevue Baptist Church,Cordova,TN,6806,Southern Baptist Convention
Bellevue Christian Center,Bellevue,NE,2500,CHRISTIAN
Belmont Church,Nashville,TN,2000,"Independent, Nondenominational"
Beltway Park Baptist Church,Abilene,TX,2700,Southern Baptist Convention
Bent Tree Bible Fellowship,Carrollton,TX,4500,"Independent, Nondenominational"
Berean Baptist Church,Burnsville,MN,2100,Baptist General Conference
Berean Christian Church,Stone Mountain,GA,7000,"Independent, Nondenominational"
Berendo Street Baptist Church,Los Angeles,CA,2000,Baptist (unspecified)
Bethany at Chester Road,Raymond,NH,2000,"Independent, Nondenominational"
Bethany Baptist Church,Brooklyn,NY,1800,Southern Baptist Convention
Bethany Baptist Church,Lindenwold,NJ,6000,"Independent, Nondenominational"
Bethany Church,Wayne,NJ,2500,Korean Presbyterian Church
Bethany Community Church,Seattle,WA,2874,"Independent, Nondenominational"
Bethany First Church of the Nazarene,Bethany,OK,2361,Church of the Nazarene
Bethany Lutheran Church,Austin,TX,2200,Lutheran (unspecified)
Bethany Slavic Missionary Church,Sacramento,CA,5700,"Independent, Nondenominational"
Bethany World Prayer Center,Baker,LA,8000,"Independent, Nondenominational"
Bethel African Methodist Episcopal Church,Baltimore,MD,2000,African Methodist Episcopal
Bethel Baptist Institutional Church,Jacksonville,FL,12000,Baptist (unspecified)
Bethel Church,Fargo,ND,2500,Evangelical Free
Bethel Church,Irvine,CA,4300,Southern Baptist Convention
Bethel Church,Richland,WA,2400,Unknown (unspecified)
Bethel Church,Crown Point,IN,2500,General Baptist Association
Bethel Church,Redding,CA,11000,"Independent, Nondenominational"
Bethel Church of San Jose,San Jose,CA,2200,Assemblies of God
Bethel Gospel Tabernacle,Jamaica,NY,2000,"Independent, Nondenominational"
Bethel Lutheran Church,Madison,WI,1800,Lutheran (unspecified)
Bethel Missionary Baptist Church,Tallahassee,FL,6000,Missionary Baptist
Bethel Temple Assembly of God,Hampton,VA,2613,Assemblies of God
Bethel Temple Community Church,Evansville,IN,2000,"Independent, Nondenominational"
Bethel World Outreach Center,Brentwood,TN,3500,"Independent, Nondenominational"
Bethel World Outreach Church,Silver Spring,MD,2000,Unknown (unspecified)
Bethel’s Family,Houston,TX,2700,Southern Baptist Convention
Bethlehem Baptist Church,Minneapolis,MN,4600,Baptist General Conference
Bethlehem Church,Gastonia,NC,2700,Southern Baptist Convention
Beulah Alliance Church,Edmonton,AB,2400,Christian & Missionary Alliance
Beulah Missionary Baptist Church,Decatur,GA,5000,Missionary Baptist
Beulahland Bible Church,Macon,GA,3500,"Independent, Nondenominational"
Bible Center Church,Charleston,WV,2500,"Independent, Nondenominational"
Bible Way Church of Atlas Road,Columbia,SC,7000,"Independent, Nondenominational"
Bible Way Temple,Washington,DC,3500,Unknown (unspecified)
Big Valley Grace Community Church,Modesto,CA,3800,"Independent, Nondenominational"
Biltmore Baptist Church,Arden,NC,6021,Southern Baptist Convention
Black Rock Congregational Church,Fairfield,CT,2000,"Independent, Nondenominational"
Blackhawk Baptist Church,Fort Wayne,IN,2000,Baptist General Conference
Blackhawk Church,Verona,WI,4000,Evangelical Free
Blackshear Place Baptist Church,Flowery Branch,GA,2875,Southern Baptist Convention
Blue Ridge Community Church,Forest,VA,2000,"Independent, Nondenominational"
Blythefield Hills Baptist Church,Rockford,MI,2020,Baptist (unspecified)
Bonita Valley Community Church,Bonita,CA,2100,Assemblies of God
Boston Avenue United Methodist Church,Tulsa,OK,2004,United Methodist Church
Boston Church of Christ,Waltham,MA,2200,ICOC
Braeswood Assembly of God,Houston,TX,2300,Assemblies of God
Brainerd Baptist Church,Chattanooga,TN,2000,Baptist (unspecified)
Bramalea Baptist Church,Bramalea,ON,1800,Evangelical
Brand New Church,Harrison,AR,3000,Unknown (unspecified)
Brentwood Baptist Church,Houston,TX,3000,Southern Baptist Convention
Brentwood Baptist Church,Brentwood,TN,5637,Southern Baptist Convention
Brentwood United Methodist Church,Brentwood,TN,2484,United Methodist Church
Briarwood Presbyterian Church,Birmingham,AL,3800,Presbyterian Church of America
Bridge Street AME,Brooklyn,NY,2500,African Methodist Episcopal
Bridgeway Community Church,Columbia,MD,3500,"Independent, Nondenominational"
Bright Hope Baptist Church,Philadelphia,PA,2000,Baptist (unspecified)
Bright Russian Baptist Church,West Sacramento,CA,2500,Baptist (unspecified)
Brightmoor Christian Church,Novi,MI,2000,Assemblies of God
Broadmoor Baptist Church,Madison,MS,2000,Southern Baptist Convention
Broadmoor Baptist Church,Shreveport,LA,2300,Southern Baptist Convention
Broadview Missionary Baptist Church,Broadview,IL,2500,Baptist (unspecified)
Broadway Church,Vancouver,BC,2100,Unknown (unspecified)
Broken Arrow Baptist Church,Tulsa,OK,2092,Southern Baptist Convention
Brookins Community AME Church,Los Angeles,CA,2000,African Methodist Episcopal
Brookland Baptist Church,West Columbia,SC,8075,Baptist (unspecified)
Brooklyn Tabernacle,Brooklyn,NY,10000,"Independent, Nondenominational"
Brookwood Church,Simpsonville,SC,6103,Southern Baptist Convention
Brown Missionary Baptist Church,Southaven,MS,3257,Baptist (unspecified)
Brushy Creek Baptist Church,Taylors,SC,2000,Southern Baptist Convention
Burnt Hickory Baptist Church,Powder Springs,GA,2065,Southern Baptist Convention
C3 Church,Clayton,NC,3852,"Independent, Nondenominational"
Calvary Assembly,Decatur,AL,2200,Assemblies of God
Calvary Austin,Pflugerville,TX,2500,Calvary Churches
Calvary Baptist Church,Morristown,NJ,1800,Baptist (unspecified)
Calvary Baptist Church,New York,NY,2000,Baptist (unspecified)
Calvary Baptist Church,Roseville,MN,1800,Baptist General Conference
Calvary Baptist Church,Las Cruces,NM,1800,Southern Baptist Convention
Calvary Baptist Church,Beaumont,TX,2350,Southern Baptist Convention
Calvary Baptist Church,Winston Salem,NC,5000,Southern Baptist Convention
Calvary Baptist Church,Clearwater,FL,2419,Southern Baptist Convention
Calvary Bible Church,Kalamazoo,MI,2000,"Independent, Nondenominational"
Calvary Bible Church,Burbank,CA,2600,"Independent, Nondenominational"
Calvary Bible Fellowship,Temecula,CA,2500,"Independent, Nondenominational"
Calvary Chapel,Santa Barbara,CA,2200,Calvary Churches
Calvary Chapel,Spokane,WA,2600,Calvary Churches
Calvary Chapel,Apex,NC,2000,Calvary Churches
Calvary Chapel,Downey,CA,9000,Calvary Churches
Calvary Chapel Boise,Boise,ID,6000,Calvary Churches
Calvary Chapel Chino Valley,Chino,CA,8300,Calvary Churches
Calvary Chapel Fort Lauderdale,Fort Lauderdale,FL,16283,Calvary Churches
Calvary Chapel Golden Springs,Diamond Bar,CA,12000,Calvary Churches
Calvary Chapel Kendall,Miami,FL,2200,Calvary Churches
Calvary Chapel La Habra,La Habra,CA,2100,Calvary Churches
Calvary Chapel Modesto,Modesto,CA,4000,Calvary Churches
Calvary Chapel Montebello,Montebello,CA,2500,Calvary Churches
Calvary Chapel of Albuquerque,Albuquerque,NM,16830,Calvary Churches
Calvary Chapel of Boston,Rockland,MA,3700,Calvary Churches
Calvary Chapel of Costa Mesa,Santa Ana,CA,9500,Calvary Churches
Calvary Chapel of Honolulu,Aiea,HI,1800,Calvary Churches
Calvary Chapel of Melbourne,West Melbourne,FL,10000,Calvary Churches
Calvary Chapel of Oceanside,Oceanside,CA,2500,Calvary Churches
Calvary Chapel of Old Bridge,Old Bridge,NJ,4500,Calvary Churches
Calvary Chapel of Philadelphia,Philadelphia,PA,12000,Calvary Churches
Calvary Chapel of Prescott,Prescott,AZ,2000,Calvary Churches
Calvary Chapel of Saint Petersburg,Pinellas Park,FL,3500,Calvary Churches
Calvary Chapel of Vista,Vista,CA,3000,Calvary Churches
Calvary Chapel Rancho Santa Margarita,Rancho Santa Margarita,CA,2000,Calvary Churches
Calvary Chapel South Bay,Gardena,CA,9200,Calvary Churches
Calvary Chapel Spring Valley,Las Vegas,NV,3000,Calvary Churches
Calvary Chapel Stone Mountain,Lilburn,GA,2000,Calvary Churches
Calvary Chapel Westgrove,Garden Grove,CA,1800,Calvary Churches
Calvary Christian Center,Sacramento,CA,5500,"Independent, Nondenominational"
Calvary Christian Center,Ormond Beach,FL,7120,"Independent, Nondenominational"
Calvary Church,Irving,TX,4500,Assemblies of God
Calvary Church,Naperville,IL,7070,Assemblies of God
Calvary Church,Saint Peters,MO,3500,Evangelical Free
Calvary Church,Souderton,PA,2100,"Independent, Nondenominational"
Calvary Church,Lancaster,PA,2500,"Independent, Nondenominational"
Calvary Church,Grand Rapids,MI,4500,"Independent, Nondenominational"
Calvary Church,Charlotte,NC,2348,"Independent, Nondenominational"
Calvary Church of Santa Ana,Santa Ana,CA,3100,"Independent, Nondenominational"
Calvary Community Church,Sumner,WA,3000,"Independent, Nondenominational"
Calvary Community Church,Westlake Village,CA,3200,Calvary Churches
Calvary Fellowship Church,Downingtown,PA,2000,"Independent, Nondenominational"
Calvary Fellowship Church,Mountlake Terrace,WA,1900,Unknown (unspecified)
Calvary Houston,Friendswood,TX,2000,"Independent, Nondenominational"
Calvary Lutheran Church,Golden Valley,MN,2300,Lutheran (unspecified)
Calvary Murietta,Murietta,CA,2000,Calvary Churches
Calvary Ph7oenix,Phoenix,AZ,4000,Calvary Churches
